Error.Type,Starting.Peak.Richness,Actual.Peak.Richness,True.Zero.Removed.Peak.Richness,Niche.Breadth,Iteration,Min.Detect,Samp1.niche,Samp2.niche,Within.Peak.Diff.Rsq,Between.Peak.Diff.Rsq,Obs.vs.True.Rsq
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.806436625446057,0.715711649014367,0.719230068153746
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.725385267070782,0.732130828776183,0.730574926762307
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.73102714049391,0.710722476999244,0.714721251036358
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.768137210841319,0.658248362869913,0.661909322225823
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.685818634553992,0.691625575491811,0.695907885263246
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.688578291401365,0.61093966018481,0.6158647394852
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.706324900483762,0.67214659167715,0.668923501282692
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.729645203602748,0.762084173745998,0.763606073579881
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.781636140599306,0.636652630273116,0.633486288157416
Detectability.Same.Between.Samples,100,100,100,100,1,0,600,6,0.781290492293236,0.558857961198765,0.558718824478106
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.674410254458866,0.615110258496704,0.618856174814242
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.544965012350464,0.544634820740164,0.539254583399652
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.702963250165589,0.732837672021983,0.735583332120421
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.565537791567161,0.747429784042144,0.744214176081551
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.607187282567934,0.720088712191638,0.72330465687376
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.689913459773063,0.70370952132319,0.707726853538374
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.647500694846628,0.668047489122101,0.672557590141234
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.643594664687422,0.700410828841736,0.702125606133128
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.654370588551089,0.629988678752931,0.632433052085601
Detectability.Differs.Between.Samples,100,100,100,100,1,0,600,6,0.610340004533486,0.666051809871333,0.664840224055422
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.743068767815329,0.57774092292512,0.595351996346516
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.716054598160125,0.54560519209937,0.550874886624649
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.752667151742636,0.643078468808005,0.656477046824812
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.786364649896612,0.662660696423121,0.679891566222932
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.76949875993944,0.607792422369562,0.620041233242785
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.701099344046172,0.58768487863308,0.599172681483887
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.704796405468764,0.58206153230931,0.598401363269533
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.752093164887424,0.521651846327074,0.543022894945157
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.689417406284371,0.640950628346025,0.652760513157128
Detectability.Same.Between.Samples,100,100,100,50,2,0,184,788,0.761414518409356,0.640234687246119,0.656841141548254
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.632714657886584,0.607556809669091,0.623337164846135
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.692675739267308,0.618105109835548,0.636888786963308
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.663201336672013,0.57639938723073,0.5961661815093
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.778175242430571,0.669914906592196,0.675878057689492
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.539756555729176,0.557866357052454,0.581352673215937
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.599734052491669,0.48551431482206,0.511853004044908
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.693771678226916,0.590573962793918,0.613205542547582
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.526824659759115,0.473374461614827,0.480510360186443
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.657890544048345,0.595289505526205,0.597982152884367
Detectability.Differs.Between.Samples,100,100,100,50,2,0,184,788,0.666146210037419,0.616843798190678,0.630469792423458
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.694591660800134,0.525170990650308,0.561784783034477
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.795752450485142,0.558910194105188,0.585804950266069
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.683288329438929,0.541227054212085,0.568599727099736
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.720087041598581,0.483466266067539,0.510524522556747
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.798686650678363,0.694748821468046,0.721216662279346
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.702348218500201,0.636851806763169,0.649427996189428
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.65678598140795,0.478326060658969,0.488628885690464
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.775123289087191,0.611605207775504,0.643632282516557
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.776903188524234,0.645162077454984,0.668513463878547
Detectability.Same.Between.Samples,100,100,100,50,3,0,214,593,0.792083851746016,0.694989314857052,0.712049031180098
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.823537745991286,0.790846171840013,0.805482484711013
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.656939392505671,0.564406919717439,0.571881969021165
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.733515386240384,0.695869061339641,0.715842898344203
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.587821973101453,0.470338053827097,0.497425970424243
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.690846209474964,0.6430205682435,0.66521570863404
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.58197249015549,0.672086204931884,0.679770057684476
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.421324403830723,0.470513895282887,0.486344128389103
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.711134649166341,0.691307271576177,0.71678573860101
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.487844190080087,0.549763116117172,0.569420908068822
Detectability.Differs.Between.Samples,100,100,100,50,3,0,214,593,0.603721610324002,0.546330942367395,0.583482835039964
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.808602283511473,0.728339984752039,0.727099604950209
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.736931661479975,0.481612307884403,0.48159482975147
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.802517275768724,0.64700048766292,0.646617983257797
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.697768204304542,0.57662225458046,0.572202017985115
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.658370913021837,0.63581571381194,0.627819883715708
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.802803485300893,0.669705821551178,0.667970649629548
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.760940240807737,0.606393113559512,0.606502578440932
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.742820101684591,0.800348946956623,0.799927772856766
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.73960047292082,0.669209219620757,0.666569023000966
Detectability.Same.Between.Samples,100,100,100,50,4,0,746,210,0.74268918128555,0.583706654438645,0.583516727109044
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.5165502772738,0.621035731870114,0.618994282029465
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.652034154084597,0.732260155320843,0.732347619563912
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.640222456063708,0.7059229850045,0.705894378482972
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.494170319397061,0.430872068967698,0.428300928642842
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.654969761758189,0.684223590871242,0.683938425358423
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.568603803152565,0.721191596298714,0.721258566145052
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.702056078220814,0.752527221396266,0.7525926737836
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.593044395453139,0.647098572242081,0.647135409414189
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.607747336724273,0.615780591751357,0.615524790065692
Detectability.Differs.Between.Samples,100,100,100,50,4,0,746,210,0.597359026629547,0.520485351238443,0.520622203856774
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.691270190896459,0.509139361503085,0.557079857895781
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.716599688798697,0.616304732830462,0.675710432012441
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.730226942064575,0.473215615697917,0.553045936005019
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.659817069282474,0.510352615866153,0.573014519023878
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.599241934190664,0.524918535402424,0.594839477161717
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.570140979011325,0.501243460425461,0.574730182616147
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.638726130797466,0.42230583111233,0.480072845725333
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.761283242510831,0.486292547748522,0.541166556501058
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.73953848228228,0.478224011113043,0.521775303649188
Detectability.Same.Between.Samples,100,100,100,10,5,0,495,298,0.789405813415322,0.614045498794306,0.678061562911213
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.407380384868989,0.491278024679939,0.511085123954668
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.421922776414618,0.522420741841682,0.571376073695745
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.507518543255445,0.593320963203706,0.662870269382316
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.601378877851883,0.615842779970141,0.674061151495329
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.469392386492208,0.670562796748331,0.715148087748897
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.276125758134199,0.519517224494099,0.583469554891907
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.555964642262474,0.592990584340161,0.623206932868508
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.592894718281277,0.580926222075011,0.637578992304471
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.354692069360319,0.624802927757624,0.675110514077864
Detectability.Differs.Between.Samples,100,100,100,10,5,0,495,298,0.494295755682851,0.60386244302529,0.660877803544867
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.770455136841554,0.560992630727295,0.57310642408357
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.679344470304322,0.603333026186114,0.618333743637216
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.577998696344819,0.565150645434841,0.573783270459002
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.614842608934527,0.636830318353519,0.650307530636727
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.747500294250131,0.604728145021786,0.619952271114191
Detectability.Same.Between.Samples,100,100,100,10,6,0,975,281,0.58036567088148,0.628389740451003,0.645088192765174
